2750067	place:Nijhuizum2750067
2751792	place:Leeuwarden2751792
1651591	place:Amahai1651591
2759794	place:Amsterdam2759794
2759766	place:Angelslo2759766
2759698	place:Appelscha2759698
2759103	place:Burgum2759103
2758626	place:Borculo2758626
2757523	place:DeHolm2757523
2751097	place:DeMaten2751097
2756932	place:DeWilp2756932
2757340	place:Delfzijl2757340
2757340	place:Delfzijl2757340
2757195	place:DenOever2757195
2756869	place:Diepswal2756869
2756789	place:Diphoorn2756789
2756763	place:Doezum2756763
2921044	place:Duitsland2921044
2756128	place:Emmerhout2756128
2910831	place:Hanover2910831
2756036	place:Ermerveen2756036
2755982	place:Euvelgunne2755982
2755850	place:Foxwolde2755850
2755812	place:ProvincieFriesland2755812
2755726	place:Garnwerd2755726
2755634	place:ProvincieGelderland2755634
2755429	place:Gorredijk2755429
2755317	place:Grijpskerk2755317
2755251	place:Groningen2755251
2755249	place:ProvincieGroningen2755249
2755203	place:GemeenteGrootegast2755203
2753738	place:Hoogemeeden2753738
1545739	place:IndischeOceaan1545739
1643084	place:Indonesie1643084
3175395	place:Italie3175395
2753130	place:Kalkwijk2753130
2752695	place:KleinGarnwerd2752695
2752727	place:Kleinemeer2752727
2752522	place:Kollumerpomp2752522
2752510	place:Kommerzijl2752510
2752275	place:Krewerd2752275
11746820	place:Lageland11746820
2751792	place:Leeuwarden2751792
2751365	place:Lutkepost2751365
2751364	place:Lutkewierum2751364
2750798	place:Millingen2750798
1636629	place:Molukken1636629
2750396	place:Niebert2750396
2750391	place:Niehove2750391
2750390	place:Niekerk2750390
2750380	place:Nietap2750380
2749879	place:ProvincieNoordHolland2749879
7535498	place:GemeenteOldambt7535498
2749660	place:Oldehove2749660
2782113	place:Oostenrijk2782113
2749325	place:Oostwold2749325
2749251	place:Oranjewoud2749251
2748838	place:ProvincieOverijssel2748838
2747984	place:Rohel2747984
2747409	place:Sebaldeburen2747409
2747343	place:Siddeburen2747343
2747294	place:SintAnnen2747294
2746832	place:Startenhuizen2746832
3382998	place:Suriname3382998
2746234	place:Tolbert2746234
3165361	place:Toscane3165361
2745783	place:Veendam2745783
6252001	place:VerenigdeStaten6252001
2745471	place:Visvliet2745471
2745094	place:Wadenoijen2745094
2745090	place:Wagenborgen2745090
2745054	place:Wamel2745054
2744891	place:Weidum2744891
2744757	place:Westerdijkshorn2744757
2744744	place:Westergeest2744744
2744436	place:Wilderhof2744436
2744228	place:Woldendorp2744228
2743800	place:Zuidbroek2743800
2743608	place:Zutphen2743608
2743583	place:Zwagerveen2743583
51|39|31|N|4|56|28|E	place:sGravenmoer2747371
51|42|36|N|5|18|41|E	place:sHertogenbosch2747351
53|21|57|N|6|46|28|E	place:tZandt2746027
52|47|25|N|6|43|7|E	place:Aalden2760142
53|20|18|N|6|0|16|E	place:Aalzum2760121
53|1|7|N|5|34|13|E	place:Abbega2760080
53|15|17|N|6|27|36|E	place:Aduard2759961
53|17|27|N|5|58|41|E	place:Akkerwoude2759924
52|37|55.2|N|4|45|3.6|E	place:Alkmaar2759899
53|2|36|N|6|41|58|E	place:Anloo2759746
53|4|40|N|6|48|5|E	place:Annerveenschekanaal2759724
52|12|36|N|5|57|58|E	place:Apeldoorn2759706
53|19|0|N|6|52|0|E	place:Appingedam2759687
53|7|47|N|5|28|31|E	place:Arum2759652
52|59|37|N|6|33|35|E	place:Assen2759633
51|24|0|N|5|45|0|E	place:Asten2759621
53|13|2|N|6|9|46|E	place:Augustinusga2759611
53|28|10|N|7|28|45|E	place:Aurich2954006
52|36|2|N|6|23|27|E	place:OudAvereest2749185
53|10|50|N|7|12|26|E	place:BadNieuweschans2750250
53|3|3|N|6|50|43|E	place:Bareveld2759424
6|8|5.41|S|106|48|47.6|E	place:Jakarta1642911
53|17|0|N|6|35|0|E	place:Bedum2759356
53|10|26|N|7|5|42|E	place:Beerta2759298
53|14|12|N|5|41|15|E	place:Bitgum2759283
53|3|40|N|6|4|39|E	place:Beetsterzwaag2759275
53|22|53|N|6|51|34|E	place:Bierum2758983
42|11|26|N|111|24|9|W	place:Bloomington5586244
52|4|51|N|4|44|55|E	place:Bodegraven2758765
53|10|38|N|5|43|47|E	place:Boksum2758458
