lat,lon,name
65977/1250,17251/2500,"Kerkhoflaan, Emmen"
527153/10000,12939/2000,"Zuiderweg, Hoogeveen"
263597/5000,34227/5000,"Boerdijk, Veenoord"
527771/10000,1701/250,"Algemene Begraafplaats Sleen"
106159/2000,65723/10000,"Esakkers, Vries"
106351/2000,70959/10000,"Kerkstraat, Beerta"
533811/10000,68597/10000,"Sebastiaankerk, Bierum"
66511/1250,2659/400,"Engelberterweg, Groningen"
53309/1000,8707/1250,"Kerk van Heveskes, Farmsum"
532481/10000,66477/10000,"Kerk Garmerwolde"
265953/5000,32969/5000,"Esserveld, Groningen"
532061/10000,65719/10000,"Zuiderbegraafplaats, Groningen"
133077/2500,32753/5000,"Noorderbegraafplaats, Groningen"
133101/2500,13099/2000,"Selwerderhof, Groningen"
4253/80,66129/10000,"Eshof, Haren"
531613/10000,16549/2500,"Harenerhof, Haren"
531727/10000,66069/10000,"Kerkstraat, Haren"
531659/10000,67531/10000,"De Stille Hof, Hoogezand"
266113/5000,66371/10000,"Middelberterweg, Groningen"
532443/10000,66279/10000,"Stefanuskerk, Groningen"
532647/10000,31969/5000,"Noorderweg, Noordhorn"
531201/10000,66587/10000,"Pollseweg, Noordlaren"
133339/2500,65127/10000,"Ranumerweg, Winsum"
13351/250,6749/1000,"Oosternielandsterweg, Oosternieland"
533111/10000,69973/10000,"Oterdum"
66423/1250,8929/1250,"Schanspad, Oudeschans"
132937/2500,8703/1250,"Kerklaan, Scheemda"
21311/400,66939/10000,"Stadsweg, Ten Boer"
531721/10000,63657/10000,"Oldebertweg, Tolbert"
266803/5000,63441/10000,"Leensterweg, Ulrum"
106209/2000,17187/2500,"Pinksterstraat, Veendam"
66701/1250,15733/2500,"Hoofdstraat, Vierhuizen"
106617/2000,16439/2500,"Klokkentoren Westerdijkshorn"
133319/2500,65117/10000,"Schilligeham, Winsum"
106479/2000,64103/10000,"Klinckemalaan, Zuidhorn"
106137/2000,13807/2500,"Franekerstraat, Bolsward"
266259/5000,1229/200,"Mariakerk Buitenpost"
106427/2000,28867/5000,"Noorder Begraafplaats, Leeuwarden"
534791/10000,12321/2000,"Hundlingiuspad, Schiermonnikoog"
6662/125,10131/2000,"Kerkplein, Vlieland"
531849/10000,72691/10000,"Kirchring, Bunde"
